,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
0,Male,49,Less than 25,Hispanic,0,1,0,1,F,1
1,Male,22,25 - 45,Hispanic,3,1,0,4,F,1
2,Male,23,25 - 45,African-American,1,0,0,4,F,1
3,Male,22,Less than 25,Caucasian,0,3,0,15,F,1
4,Male,47,Less than 25,Other,0,2,0,2,F,1
5,Male,37,25 - 45,African-American,1,0,0,3,M,0
6,Male,22,25 - 45,African-American,0,0,1,13,F,1
7,Male,37,25 - 45,African-American,0,1,1,10,F,0
8,Male,22,25 - 45,African-American,0,2,0,14,M,1
9,Male,44,25 - 45,Caucasian,0,1,0,20,M,1
10,Female,28,25 - 45,Hispanic,0,0,0,0,F,0
11,Male,35,25 - 45,Caucasian,0,1,0,0,F,1
12,Male,28,Greater than 45,Hispanic,0,0,0,4,F,0
13,Male,48,Less than 25,Hispanic,0,4,0,10,F,1
14,Male,41,25 - 45,African-American,1,1,1,2,F,1
15,Male,31,25 - 45,Caucasian,0,0,0,2,M,0
16,Male,25,25 - 45,Caucasian,0,1,1,1,F,1
17,Female,46,25 - 45,Asian,0,0,0,0,M,1
18,Male,21,25 - 45,African-American,0,0,3,2,F,1
19,Male,21,25 - 45,African-American,1,2,3,7,F,1
20,Male,33,25 - 45,African-American,3,0,0,2,F,0
21,Male,33,Greater than 45,African-American,0,0,0,6,F,0
22,Male,22,25 - 45,Asian,0,2,1,18,F,1
23,Male,22,Less than 25,Caucasian,0,0,4,2,F,1
24,Male,35,25 - 45,Hispanic,3,0,0,1,M,0
25,Male,51,Less than 25,Other,0,0,0,1,F,0
26,Male,33,25 - 45,African-American,0,4,0,14,M,1
27,Female,26,25 - 45,African-American,0,0,1,19,F,1
28,Female,26,Less than 25,African-American,1,2,1,7,F,1
29,Male,20,25 - 45,Other,0,0,1,10,M,1
30,Male,32,25 - 45,African-American,0,0,0,2,F,0
31,Male,22,25 - 45,Hispanic,0,0,0,12,F,0
32,Male,27,25 - 45,African-American,2,0,3,10,M,1
33,Male,23,25 - 45,Caucasian,0,0,0,2,M,0
34,Female,26,25 - 45,African-American,0,0,0,2,F,1
35,Male,26,25 - 45,Caucasian,0,0,3,1,M,1
36,Male,21,Greater than 45,African-American,1,0,0,20,M,1
37,Male,28,Less than 25,African-American,0,0,0,17,F,0
38,Male,30,25 - 45,Caucasian,0,0,0,19,F,0
39,Male,21,25 - 45,Caucasian,0,0,4,14,F,1
40,Male,28,Less than 25,African-American,0,0,3,7,M,1
41,Female,55,25 - 45,African-American,0,0,0,2,M,0
42,Male,50,Less than 25,Other,0,0,2,2,M,1
43,Male,32,25 - 45,Caucasian,1,0,3,1,F,1
44,Female,40,25 - 45,African-American,0,1,3,2,M,1
45,Female,22,Less than 25,Hispanic,0,1,0,2,F,1
46,Male,21,25 - 45,African-American,3,2,1,7,M,1
47,Female,48,25 - 45,Caucasian,0,0,0,10,M,1
48,Male,48,25 - 45,Caucasian,0,4,0,4,F,0
49,Female,22,25 - 45,Other,0,0,0,4,F,0
50,Male,45,Less than 25,African-American,0,0,1,1,M,0
51,Female,26,Less than 25,Other,0,0,2,10,F,1
52,Male,34,Less than 25,Caucasian,0,1,0,4,F,0
53,Male,29,Greater than 45,Caucasian,0,0,0,2,F,1
54,Male,28,Less than 25,Caucasian,1,0,2,14,F,1
55,Male,29,Less than 25,Caucasian,0,2,0,2,M,1
56,Male,23,Less than 25,African-American,0,0,0,7,F,0
57,Male,48,25 - 45,African-American,1,0,0,6,F,0
