,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
0,Male,34,25 - 45,African-American,0,0,0,0,F,0
1,Male,64,Greater than 45,Hispanic,0,0,0,1,F,0
2,Female,54,Greater than 45,African-American,0,0,0,1,F,0
3,Male,33,25 - 45,African-American,0,0,0,5,M,1
4,Male,30,25 - 45,Caucasian,0,0,0,0,M,0
5,Male,43,Greater than 45,African-American,0,0,0,15,F,0
6,Male,32,25 - 45,Caucasian,0,0,0,0,F,1
7,Male,27,25 - 45,Caucasian,0,0,0,1,F,0
8,Male,28,Less than 25,African-American,0,0,0,2,F,0
9,Male,27,25 - 45,African-American,0,1,0,3,F,1
10,Male,31,25 - 45,Caucasian,0,0,0,2,F,1
11,Male,41,Greater than 45,African-American,0,0,0,13,F,0
12,Male,42,25 - 45,African-American,0,0,0,1,F,0
13,Male,24,25 - 45,Caucasian,0,0,0,1,M,1
14,Male,27,25 - 45,African-American,0,0,0,0,M,0
15,Male,24,25 - 45,African-American,0,0,1,0,F,0
16,Female,19,Less than 25,Other,0,0,0,0,F,1
17,Male,45,25 - 45,Caucasian,0,0,0,1,F,0
18,Male,30,25 - 45,African-American,0,0,0,0,F,1
19,Male,20,Less than 25,African-American,1,2,0,15,F,1
20,Male,29,25 - 45,African-American,0,0,0,10,F,1
21,Male,35,25 - 45,Hispanic,0,0,0,1,F,1
22,Male,25,Less than 25,African-American,0,0,0,0,M,0
23,Male,61,Greater than 45,African-American,0,0,0,2,F,0
24,Male,22,Less than 25,Caucasian,0,0,0,1,F,1
25,Female,27,25 - 45,Caucasian,0,0,0,7,F,0
26,Male,45,25 - 45,Hispanic,0,0,0,4,F,1
27,Female,18,Less than 25,Caucasian,0,0,0,0,F,1
28,Male,42,Greater than 45,African-American,0,0,0,1,F,1
29,Female,55,25 - 45,Caucasian,0,0,0,1,F,1
30,Male,24,25 - 45,African-American,0,0,0,9,M,1
31,Male,26,25 - 45,Caucasian,0,0,0,0,M,1
32,Male,55,Greater than 45,African-American,0,0,0,12,F,0
33,Male,45,25 - 45,African-American,0,0,0,0,M,0
34,Male,63,Greater than 45,African-American,0,0,0,8,F,0
35,Female,27,25 - 45,African-American,0,0,0,0,F,0
36,Male,29,25 - 45,African-American,0,0,0,19,F,1
37,Male,24,25 - 45,Caucasian,0,0,0,0,M,0
38,Male,28,25 - 45,Other,0,0,0,1,F,0
39,Male,43,Greater than 45,African-American,0,0,0,0,M,0
40,Male,31,25 - 45,African-American,0,0,0,5,M,0
41,Male,58,Greater than 45,African-American,0,0,0,16,F,0
42,Male,25,25 - 45,African-American,2,0,1,8,F,1
43,Female,27,25 - 45,African-American,0,0,0,0,M,0
44,Male,29,25 - 45,Hispanic,0,0,0,11,F,1
45,Male,52,25 - 45,Caucasian,0,0,0,1,F,0
46,Male,26,Less than 25,Hispanic,0,0,0,0,F,0
47,Male,58,Greater than 45,Caucasian,0,0,0,1,F,0
48,Male,52,25 - 45,African-American,0,0,0,2,F,1
49,Male,48,25 - 45,African-American,0,0,0,3,M,1
50,Male,50,Greater than 45,Caucasian,0,0,0,0,F,1
51,Male,56,25 - 45,African-American,0,0,0,1,M,1
52,Female,40,25 - 45,Caucasian,0,0,0,0,F,1
53,Male,26,25 - 45,Caucasian,0,0,1,0,F,1
54,Male,53,Greater than 45,Caucasian,0,0,0,1,F,0
55,Male,30,25 - 45,African-American,0,0,0,15,F,1
56,Male,32,25 - 45,African-American,0,0,0,0,F,0
57,Female,25,Less than 25,Caucasian,0,0,0,0,M,0
58,Male,23,25 - 45,African-American,0,0,0,1,F,0
59,Male,27,25 - 45,African-American,0,0,0,0,F,1
60,Male,46,Greater than 45,African-American,0,0,0,10,F,1
61,Male,28,25 - 45,African-American,0,1,0,9,F,0
62,Male,36,Less than 25,Caucasian,0,0,0,0,F,0
63,Male,23,25 - 45,African-American,0,0,0,8,F,1
64,Male,60,Greater than 45,African-American,0,1,0,0,F,0
