sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
Male,25,Less than 25,African-American,6,1,0,7,F,1
Male,45,25 - 45,Caucasian,0,0,0,2,M,0
Male,48,Greater than 45,Caucasian,0,0,0,4,F,0
Male,29,25 - 45,Caucasian,0,0,0,1,M,0
Male,34,25 - 45,African-American,0,0,0,0,F,0
Male,53,Greater than 45,African-American,0,0,0,4,M,0
Female,28,Greater than 45,African-American,0,0,0,23,F,0
Female,20,Less than 25,African-American,0,1,0,3,F,1
Female,22,Less than 25,Caucasian,0,0,0,3,F,1
Male,38,25 - 45,Hispanic,0,0,0,0,M,0
Male,50,Greater than 45,Caucasian,0,0,0,1,F,0
Female,36,Less than 25,African-American,0,0,0,0,M,0
Male,31,25 - 45,Caucasian,0,0,0,2,M,0
Female,21,Less than 25,African-American,0,1,0,2,F,1
Male,21,Less than 25,African-American,0,0,0,2,F,1
Male,23,Less than 25,Caucasian,0,0,0,1,M,0
Male,21,Less than 25,African-American,0,0,0,4,F,0
Male,19,Less than 25,African-American,0,2,1,7,F,1
Female,24,Greater than 45,Caucasian,0,0,0,0,M,0
Male,50,Greater than 45,African-American,0,0,0,11,F,1
Male,53,Greater than 45,African-American,0,0,0,3,F,0
Male,22,25 - 45,Caucasian,0,0,0,4,F,1
Male,55,Greater than 45,African-American,0,0,0,1,M,0
Female,28,25 - 45,African-American,0,0,0,1,F,1
Male,40,Greater than 45,African-American,0,0,0,1,F,1
Female,27,25 - 45,African-American,0,0,0,0,M,0
Male,23,25 - 45,African-American,0,0,0,0,F,1
Male,22,Less than 25,African-American,0,0,0,0,F,0
Male,21,Less than 25,Caucasian,0,0,0,0,M,0
Female,33,25 - 45,Caucasian,0,0,0,0,F,0
Male,25,25 - 45,Caucasian,0,0,0,0,M,1
Female,37,25 - 45,Caucasian,0,0,0,1,F,0
Female,38,25 - 45,Caucasian,0,0,0,7,F,1
Male,50,25 - 45,Caucasian,0,0,0,0,F,0
Male,48,Greater than 45,Hispanic,0,0,0,0,F,0
Male,34,25 - 45,African-American,0,0,0,11,F,1
Male,22,Less than 25,African-American,0,0,0,1,F,1
Male,21,Less than 25,Caucasian,0,0,0,0,F,1
Male,28,25 - 45,Caucasian,0,0,0,1,F,0
Male,22,Less than 25,Caucasian,0,0,1,7,F,1
