sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
Male,22,Less than 25,African-American,1,1,0,2,F,1
Male,39,25 - 45,Other,0,0,0,0,M,0
Female,26,25 - 45,African-American,0,0,0,2,F,1
Male,51,Greater than 45,African-American,0,0,0,5,F,0
Male,39,25 - 45,African-American,2,0,1,4,F,1
Male,56,Greater than 45,African-American,0,0,0,11,F,1
Male,30,25 - 45,African-American,0,0,0,0,F,0
Male,25,25 - 45,African-American,0,0,0,2,F,1
Male,52,Greater than 45,African-American,0,0,0,3,F,1
Male,51,Greater than 45,African-American,0,0,0,8,F,1
Male,28,25 - 45,Caucasian,0,0,0,0,F,0
Male,32,25 - 45,African-American,0,0,0,2,M,0
Male,27,25 - 45,African-American,0,0,0,1,F,1
Male,24,Less than 25,Caucasian,0,0,0,0,M,0
Male,24,Less than 25,Caucasian,0,1,1,3,M,0
Female,22,Less than 25,Caucasian,0,0,0,1,F,1
Male,26,25 - 45,African-American,0,0,0,2,M,0
Male,24,Less than 25,Caucasian,0,0,0,2,M,0
Male,40,25 - 45,Other,0,0,0,1,F,0
Male,39,25 - 45,Caucasian,0,0,2,20,F,1
Male,25,25 - 45,African-American,0,0,0,1,F,0
Male,32,25 - 45,Caucasian,0,0,0,0,F,0
Female,27,25 - 45,African-American,0,0,0,0,M,1
Male,24,Less than 25,African-American,0,0,0,1,F,1
Male,44,25 - 45,Caucasian,0,0,0,1,M,0
Female,57,Greater than 45,Caucasian,0,0,0,0,M,0
Male,22,Less than 25,Caucasian,0,0,0,1,F,1
Male,25,25 - 45,African-American,0,0,0,0,M,1
Female,59,Greater than 45,Caucasian,0,0,0,0,M,0
Male,27,25 - 45,Caucasian,0,0,1,4,F,0
Male,23,Less than 25,African-American,0,0,0,0,M,0
Male,62,Greater than 45,Caucasian,0,0,0,0,M,1
Female,27,25 - 45,Caucasian,0,0,0,3,F,1
Male,23,Less than 25,Caucasian,0,0,0,0,M,1
Male,20,Less than 25,African-American,1,0,0,2,M,1
Male,33,25 - 45,African-American,0,0,0,1,F,0
Male,20,Less than 25,African-American,0,0,0,0,M,0
Male,28,25 - 45,African-American,0,0,0,2,M,0
Male,44,25 - 45,Caucasian,0,0,0,3,F,0
Male,29,25 - 45,Caucasian,0,0,0,0,F,0
Male,34,25 - 45,Other,0,0,0,5,F,1
Male,44,25 - 45,Caucasian,0,0,0,6,F,0
Male,29,25 - 45,African-American,0,0,0,11,F,1
Female,34,25 - 45,African-American,0,0,0,0,F,0
Male,33,25 - 45,Caucasian,0,0,0,0,F,1
Female,27,25 - 45,African-American,0,0,0,3,F,1
Male,25,25 - 45,African-American,0,0,0,5,M,1
Male,41,25 - 45,African-American,0,0,0,19,F,1
Male,30,25 - 45,African-American,0,0,0,1,M,0
Female,30,25 - 45,African-American,0,0,0,1,M,0
Male,69,Greater than 45,African-American,0,0,0,3,F,0
Male,33,25 - 45,African-American,0,0,0,1,F,1
Male,30,25 - 45,Caucasian,0,0,0,0,F,1
Female,26,25 - 45,African-American,0,0,0,1,M,0
Male,24,Less than 25,African-American,0,0,0,0,F,1
Male,47,Greater than 45,Hispanic,0,0,0,19,F,1
Male,26,25 - 45,African-American,0,0,0,10,F,0
Male,45,Greater than 45,African-American,0,0,0,10,F,0
Male,28,25 - 45,Caucasian,0,0,0,0,F,1
Male,38,25 - 45,African-American,0,0,0,2,M,0
Male,20,Less than 25,African-American,1,2,1,3,F,1
Male,20,Less than 25,African-American,0,0,1,3,F,1
Male,35,25 - 45,Caucasian,0,0,0,4,F,0
Female,20,Less than 25,African-American,1,0,0,1,F,1
Male,41,25 - 45,African-American,0,0,0,9,M,0
Male,34,25 - 45,Caucasian,0,0,0,3,F,0
Male,35,25 - 45,African-American,0,0,0,19,M,1
Male,21,Less than 25,African-American,0,0,0,3,F,1
Female,32,25 - 45,Caucasian,0,0,0,6,M,1
Male,23,Less than 25,Hispanic,0,0,0,0,M,0
Male,34,25 - 45,Other,0,0,0,2,F,0
Male,24,Less than 25,Hispanic,0,0,0,2,F,1
Male,38,25 - 45,African-American,0,0,0,10,M,0
Male,30,25 - 45,Caucasian,0,0,0,1,M,1
Male,25,25 - 45,African-American,0,0,0,1,F,0
Male,25,25 - 45,African-American,0,0,0,9,F,1
Male,24,Less than 25,African-American,0,0,0,2,F,0
Female,59,Greater than 45,Caucasian,0,0,0,0,M,0
Female,68,Greater than 45,Caucasian,0,0,0,1,M,0
